year;Mes;Día;value
2020;Ago;25;786.17
2020;Ago;26;784.44
2020;Ago;27;786.91
2020;Ago;28;784.27
2020;Ago;29;
2020;Ago;30;
2020;Ago;31;779.92
2019;Sep;1;
2019;Sep;2;720.2
2019;Sep;3;724.72
2019;Sep;4;725.69
2019;Sep;5;723.3
2019;Sep;6;717.52
2019;Sep;7;
2019;Sep;8;
2019;Sep;9;711.22
2019;Sep;10;713.72
2019;Sep;11;714.77
2019;Sep;12;714.39
2019;Sep;13;711.29
2019;Sep;14;
2019;Sep;15;
2019;Sep;16;707.07
2019;Sep;17;709.81
2019;Sep;18;
2019;Sep;19;
2019;Sep;20;
2019;Sep;21;
2019;Sep;22;
2019;Sep;23;715.24
2019;Sep;24;722.17
2019;Sep;25;721.92
2019;Sep;26;727.08
2019;Sep;27;726.17
2019;Sep;28;
2019;Sep;29;
2019;Sep;30;725.68
2019;Sep;31;
2020;Sep;1;776.46
2020;Sep;2;770.59
2020;Sep;3;771.45
2020;Sep;4;773.71
2020;Sep;5;
2020;Sep;6;
2020;Sep;7;773.76
2020;Sep;8;773.24
2020;Sep;9;776.65
2020;Sep;10;767.87
2020;Sep;11;764.99
2020;Sep;12;
2020;Sep;13;
2020;Sep;14;768.34
2020;Sep;15;767.01
2020;Sep;16;760.01
2020;Sep;17;761.54
2020;Sep;18;
2020;Sep;19;
2020;Sep;20;
2020;Sep;21;764.34
2020;Sep;22;772.83
2020;Sep;23;773.4
2020;Sep;24;781.44
2020;Sep;25;788.02
2020;Sep;26;
2020;Sep;27;
2020;Sep;28;787.15
2020;Sep;29;784.19
2020;Sep;30;784.46
2020;Sep;31;
2019;Oct;1;728.21
2019;Oct;2;729.38
2019;Oct;3;727.8
2019;Oct;4;719.53
2019;Oct;5;
2019;Oct;6;
2019;Oct;7;715.53
2019;Oct;8;717.05
2019;Oct;9;722.28
2019;Oct;10;724.27
2019;Oct;11;720.61
2019;Oct;12;
2019;Oct;13;
2019;Oct;14;712.98
2019;Oct;15;712.04
2019;Oct;16;715.48
2019;Oct;17;718.69
2019;Oct;18;713.23
2019;Oct;19;
2019;Oct;20;
2019;Oct;21;709.71
2019;Oct;22;723.52
2019;Oct;23;726.24
2019;Oct;24;726.15
2019;Oct;25;723.43
2019;Oct;26;
2019;Oct;27;
2019;Oct;28;725.87
2019;Oct;29;724.37
2019;Oct;30;726.34
2019;Oct;31;
2020;Oct;1;788.15
2020;Oct;2;785.04
2020;Oct;3;
2020;Oct;4;
2020;Oct;5;790.81
2020;Oct;6;794.34
2020;Oct;7;797.35
2020;Oct;8;795.05
2020;Oct;9;797.25
2020;Oct;10;
2020;Oct;11;
2020;Oct;12;
2020;Oct;13;796.05
2020;Oct;14;797.66
2020;Oct;15;798.56
2020;Oct;16;801.91
2020;Oct;17;
2020;Oct;18;
2020;Oct;19;795.68
2020;Oct;20;788.27
2020;Oct;21;786.66
2020;Oct;22;784.07
2020;Oct;23;781.41
